key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	depth
3619	19	0	H. bwwn	0	evil-hearted	evil-hearted		714a	2	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3619.html	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	-		evil-hearted	evil-hearted	evil-hearted	evil-hearted	evil-hearted	evil-hearted	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=714a	714	a	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	ϩ. ⲃⲱⲱⲛ	0
3620	19	0	(S,B,F) H. nouwt	0	single heart, one mind /$gk: [[omonoia]]$/	single heart, one mind /$gk: [[omonoia]]$/	omonoia	714a	3	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3620.html	(S, B, F) ϩ. ⲛⲟⲩⲱⲧ	(S, B, F) ϩ. ⲛⲟⲩⲱⲧ	(S, B, F) ϩ. ⲛⲟⲩⲱⲧ	(S, B, F) ϩ. ⲛⲟⲩⲱⲧ	ϩ. ⲛⲟⲩⲱⲧ	(S, B, F) ϩ. ⲛⲟⲩⲱⲧ	-	ομονοια	single heart, one mind [ομονοια]	single heart, one mind [ομονοια]	single heart, one mind	"single heart, one mind <span style=""opacity:0.7"">[ομονοια]</span>"	"single heart, one mind <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BF%CE%BC%CE%BF%CE%BD%CE%BF%CE%B9%CE%B1"">ομονοια</a>]</span>"	single heart, one mind	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=714a	714	a	ϩ. ⲛⲟⲩⲱⲧ	ϩ. ⲛⲟⲩⲱⲧ									ϩ. ⲛⲟⲩⲱⲧ	ϩ. ⲛⲟⲩⲱⲧ	ϩ. ⲛⲟⲩⲱⲧ	ϩ. ⲛⲟⲩⲱⲧ							0
3621	19	3620	mntH.,metH.	0	unanimity	unanimity		714a	4	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3621.html	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	-		unanimity	unanimity	unanimity	unanimity	unanimity	unanimity	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=714a	714	a	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ.	ⲙⲛⲧϩ., ⲙⲉⲧϩ.	ⲙⲛⲧϩ.	1
3622	19	0	(S,A,sA,F) H. snau (B) H. b	0	two hearts, double minded /$gk: [[dicuxos]]$/	two hearts, double minded /$gk: [[dicuxos]]$/	dicuxos	714b	5	2010-03-26	2010-03-26	vagrant	vagrant	https://pishoyg.github.io/crum/3622.html	"(S, A, sA, F) ϩ. ⲥⲛⲁⲩ
(B) ϩ. ⲃ"	"(S, A, sA, F) ϩ. ⲥⲛⲁⲩ
(B) ϩ. ⲃ"	"(S, A, sA, F) ϩ. ⲥⲛⲁⲩ
(B) ϩ. ⲃ"	"(S, A, sA, F) ϩ. ⲥⲛⲁⲩ
(B) ϩ. ⲃ"	ϩ. ⲥⲛⲁⲩ, ϩ. ⲃ	"(S, A, sA, F) ϩ. ⲥⲛⲁⲩ
(B) ϩ. ⲃ"	-	διξυχοσ	two hearts, double minded [διξυχοσ]	two hearts, double minded [διξυχοσ]	two hearts, double minded	"two hearts, double minded <span style=""opacity:0.7"">[διξυχοσ]</span>"	"two hearts, double minded <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CE%BE%CF%85%CF%87%CE%BF%CF%83"">διξυχοσ</a>]</span>"	two hearts, double minded	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=714b	714	b	ϩ. ⲥⲛⲁⲩ	ϩ. ⲥⲛⲁⲩ					ϩ. ⲥⲛⲁⲩ	ϩ. ⲥⲛⲁⲩ	ϩ. ⲥⲛⲁⲩ	ϩ. ⲥⲛⲁⲩ	ϩ. ⲃ	ϩ. ⲃ	ϩ. ⲥⲛⲁⲩ	ϩ. ⲥⲛⲁⲩ							0
3623	19	3622	r H.,er H.	0	be of two minds, doubtful /$gk: [[distazein]]$/	be of two minds, doubtful /$gk: [[distazein]]$/	distazein	714b	6	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3623.html	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	-	δισταζειν	be of two minds, doubtful [δισταζειν]	be of two minds, doubtful [δισταζειν]	be of two minds, doubtful	"be of two minds, doubtful <span style=""opacity:0.7"">[δισταζειν]</span>"	"be of two minds, doubtful <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B4%CE%B9%CF%83%CF%84%CE%B1%CE%B6%CE%B5%CE%B9%CE%BD"">δισταζειν</a>]</span>"	be of two minds, doubtful	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=714b	714	b	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ.	ⲣ ϩ., ⲉⲣ ϩ.	ⲣ ϩ.	1
3624	19	0	(B) H. pwni,metH. pwni	0	stony-heartedness	stony-heartedness		714b	7	2010-03-26	2010-03-26	vagrant	vagrant	https://pishoyg.github.io/crum/3624.html	(B) ϩ. ⲡⲱⲛⲓ, ⲙⲉⲧϩ. ⲡⲱⲛⲓ	(B) ϩ. ⲡⲱⲛⲓ, ⲙⲉⲧϩ. ⲡⲱⲛⲓ	(B) ϩ. ⲡⲱⲛⲓ, ⲙⲉⲧϩ. ⲡⲱⲛⲓ	(B) ϩ. ⲡⲱⲛⲓ, ⲙⲉⲧϩ. ⲡⲱⲛⲓ	ϩ. ⲡⲱⲛⲓ, ⲙⲉⲧϩ. ⲡⲱⲛⲓ	(B) ϩ. ⲡⲱⲛⲓ, ⲙⲉⲧϩ. ⲡⲱⲛⲓ	-		stony-heartedness	stony-heartedness	stony-heartedness	stony-heartedness	stony-heartedness	stony-heartedness	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=714b	714	b											ϩ. ⲡⲱⲛⲓ, ⲙⲉⲧϩ. ⲡⲱⲛⲓ	ϩ. ⲡⲱⲛⲓ									0
3625	19	0	(S,A) H. Shm	0	small, faint heart, impatient /$gk: [[oligocuxos]]$/	small, faint heart, impatient /$gk: [[oligocuxos]]$/	oligocuxos	714b	8	2010-03-26	2010-03-26	vagrant	vagrant	https://pishoyg.github.io/crum/3625.html	(S, A) ϩ. ϣⲏⲙ	(S, A) ϩ. ϣⲏⲙ	(S, A) ϩ. ϣⲏⲙ	(S, A) ϩ. ϣⲏⲙ	ϩ. ϣⲏⲙ	(S, A) ϩ. ϣⲏⲙ	-	ολιγοξυχοσ	small, faint heart, impatient [ολιγοξυχοσ]	small, faint heart, impatient [ολιγοξυχοσ]	small, faint heart, impatient	"small, faint heart, impatient <span style=""opacity:0.7"">[ολιγοξυχοσ]</span>"	"small, faint heart, impatient <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BF%CE%BB%CE%B9%CE%B3%CE%BF%CE%BE%CF%85%CF%87%CE%BF%CF%83"">ολιγοξυχοσ</a>]</span>"	small, faint heart, impatient	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=714b	714	b	ϩ. ϣⲏⲙ	ϩ. ϣⲏⲙ					ϩ. ϣⲏⲙ	ϩ. ϣⲏⲙ													0
3626	19	3625	(S) mntH.	0	timidity, impatience /$gk: [[oligocuxia]]$/	timidity, impatience /$gk: [[oligocuxia]]$/	oligocuxia	714b	9	2010-03-26	2010-03-26	vagrant	vagrant	https://pishoyg.github.io/crum/3626.html	(S) ⲙⲛⲧϩ.	(S) ⲙⲛⲧϩ.	(S) ⲙⲛⲧϩ.	(S) ⲙⲛⲧϩ.	ⲙⲛⲧϩ.	(S) ⲙⲛⲧϩ.	-	ολιγοξυχια	timidity, impatience [ολιγοξυχια]	timidity, impatience [ολιγοξυχια]	timidity, impatience	"timidity, impatience <span style=""opacity:0.7"">[ολιγοξυχια]</span>"	"timidity, impatience <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BF%CE%BB%CE%B9%CE%B3%CE%BF%CE%BE%CF%85%CF%87%CE%B9%CE%B1"">ολιγοξυχια</a>]</span>"	timidity, impatience	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=714b	714	b	ⲙⲛⲧϩ.	ⲙⲛⲧϩ.																			1
8723	19	3625	rH.	0	 /$gk: [[oligocuxein, oligwrein]]$/	 /$gk: [[oligocuxein, oligwrein]]$/	oligocuxein, oligwrein	714b	10	2010-09-19	1900-01-01	vagrant		https://pishoyg.github.io/crum/8723.html	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	-	ολιγοξυχειν, ολιγωρειν	[ολιγοξυχειν, ολιγωρειν]	[ολιγοξυχειν, ολιγωρειν]		"<span style=""opacity:0.7"">[ολιγοξυχειν, ολιγωρειν]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BF%CE%BB%CE%B9%CE%B3%CE%BF%CE%BE%CF%85%CF%87%CE%B5%CE%B9%CE%BD"">ολιγοξυχειν</a>, <a href=""https://logeion.uchicago.edu/%CE%BF%CE%BB%CE%B9%CE%B3%CF%89%CF%81%CE%B5%CE%B9%CE%BD"">ολιγωρειν</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=714b	714	b	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	ⲣϩ.	1
3627	19	0	(S,A,sA,B,F) atH.	0	without mind, senseless /$gk: [[afrwn, anohtos, asunetos]]$/	without mind, senseless /$gk: [[afrwn, anohtos, asunetos]]$/	afrwn, anohtos, asunetos	714b	11	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3627.html	(S, A, sA, B, F) ⲁⲧϩ.	(S, A, sA, B, F) ⲁⲧϩ.	(S, A, sA, B, F) ⲁⲧϩ.	(S, A, sA, B, F) ⲁⲧϩ.	ⲁⲧϩ.	(S, A, sA, B, F) ⲁⲧϩ.	-	αφρων, ανοητοσ, ασυνετοσ	without mind, senseless [αφρων, ανοητοσ, ασυνετοσ]	without mind, senseless [αφρων, ανοητοσ, ασυνετοσ]	without mind, senseless	"without mind, senseless <span style=""opacity:0.7"">[αφρων, ανοητοσ, ασυνετοσ]</span>"	"without mind, senseless <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CF%86%CF%81%CF%89%CE%BD"">αφρων</a>, <a href=""https://logeion.uchicago.edu/%CE%B1%CE%BD%CE%BF%CE%B7%CF%84%CE%BF%CF%83"">ανοητοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%B1%CF%83%CF%85%CE%BD%CE%B5%CF%84%CE%BF%CF%83"">ασυνετοσ</a>]</span>"	without mind, senseless	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=714b	714	b	ⲁⲧϩ.	ⲁⲧϩ.					ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.	ⲁⲧϩ.							0
3628	19	0	(S,A,B,F) balH.	0	open, simple-minded /$gk: [[akakos]]$/	open, simple-minded /$gk: [[akakos]]$/	akakos	715a	12	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3628.html	(S, A, B, F) ⲃⲁⲗϩ.	(S, A, B, F) ⲃⲁⲗϩ.	(S, A, B, F) ⲃⲁⲗϩ.	(S, A, B, F) ⲃⲁⲗϩ.	ⲃⲁⲗϩ.	(S, A, B, F) ⲃⲁⲗϩ.	-	ακακοσ	open, simple-minded [ακακοσ]	open, simple-minded [ακακοσ]	open, simple-minded	"open, simple-minded <span style=""opacity:0.7"">[ακακοσ]</span>"	"open, simple-minded <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%B1%CE%BA%CE%B1%CE%BA%CE%BF%CF%83"">ακακοσ</a>]</span>"	open, simple-minded	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715a	715	a	ⲃⲁⲗϩ.	ⲃⲁⲗϩ.					ⲃⲁⲗϩ.	ⲃⲁⲗϩ.			ⲃⲁⲗϩ.	ⲃⲁⲗϩ.	ⲃⲁⲗϩ.	ⲃⲁⲗϩ.							0
3629	19	0	(S) marH.	0	with bound, closed heart, guileful	with bound, closed heart, guileful		715a	13	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3629.html	(S) ⲙⲁⲣϩ.	(S) ⲙⲁⲣϩ.	(S) ⲙⲁⲣϩ.	(S) ⲙⲁⲣϩ.	ⲙⲁⲣϩ.	(S) ⲙⲁⲣϩ.	-		with bound, closed heart, guileful	with bound, closed heart, guileful	with bound, closed heart, guileful	with bound, closed heart, guileful	with bound, closed heart, guileful	with bound, closed heart, guileful	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715a	715	a	ⲙⲁⲣϩ.	ⲙⲁⲣϩ.																			0
3630	19	0	(S,A,sA,B,F) rmnH.	0	man of heart, wise man /$gk: [[swfrwn, sunetos, episthmwn]]$/	man of heart, wise man /$gk: [[swfrwn, sunetos, episthmwn]]$/	swfrwn, sunetos, episthmwn	715a	14	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3630.html	(S, A, sA, B, F) ⲣⲙⲛϩ.	(S, A, sA, B, F) ⲣⲙⲛϩ.	(S, A, sA, B, F) ⲣⲙⲛϩ.	(S, A, sA, B, F) ⲣⲙⲛϩ.	ⲣⲙⲛϩ.	(S, A, sA, B, F) ⲣⲙⲛϩ.	-	σωφρων, συνετοσ, επιστημων	man of heart, wise man [σωφρων, συνετοσ, επιστημων]	man of heart, wise man [σωφρων, συνετοσ, επιστημων]	man of heart, wise man	"man of heart, wise man <span style=""opacity:0.7"">[σωφρων, συνετοσ, επιστημων]</span>"	"man of heart, wise man <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%83%CF%89%CF%86%CF%81%CF%89%CE%BD"">σωφρων</a>, <a href=""https://logeion.uchicago.edu/%CF%83%CF%85%CE%BD%CE%B5%CF%84%CE%BF%CF%83"">συνετοσ</a>, <a href=""https://logeion.uchicago.edu/%CE%B5%CF%80%CE%B9%CF%83%CF%84%CE%B7%CE%BC%CF%89%CE%BD"">επιστημων</a>]</span>"	man of heart, wise man	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715a	715	a	ⲣⲙⲛϩ.	ⲣⲙⲛϩ.					ⲣⲙⲛϩ.	ⲣⲙⲛϩ.	ⲣⲙⲛϩ.	ⲣⲙⲛϩ.	ⲣⲙⲛϩ.	ⲣⲙⲛϩ.	ⲣⲙⲛϩ.	ⲣⲙⲛϩ.							0
3631	19	3630	mntr.	0	wisdom, understanding	wisdom, understanding		715a	15	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3631.html	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	-		wisdom, understanding	wisdom, understanding	wisdom, understanding	wisdom, understanding	wisdom, understanding	wisdom, understanding	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715a	715	a	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	ⲙⲛⲧⲣ.	1
3632	19	3630	r ..rmnH.	0	 /$gk: [[fronein, sunienai]]$/	 /$gk: [[fronein, sunienai]]$/	fronein, sunienai	715a	16	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3632.html	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	-	φρονειν, συνιεναι	[φρονειν, συνιεναι]	[φρονειν, συνιεναι]		"<span style=""opacity:0.7"">[φρονειν, συνιεναι]</span>"	"<span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%86%CF%81%CE%BF%CE%BD%CE%B5%CE%B9%CE%BD"">φρονειν</a>, <a href=""https://logeion.uchicago.edu/%CF%83%CF%85%CE%BD%CE%B9%CE%B5%CE%BD%CE%B1%CE%B9"">συνιεναι</a>]</span>"		https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715a	715	a	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	ⲣ ⲣⲙⲛϩ.	1
3633	19	0	(S,B,F) Ss nH.,S$^e^$ nH. (F) Si nH.	0	grief /$gk: [[odunh]]$/	grief /$gk: [[odunh]]$/	odunh	715a	17	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3633.html	"(S, B, F) ϣⲥ ⲛϩ., ϣ(ⲉ) ⲛϩ.
(F) ϣⲓ ⲛϩ."	"(S, B, F) ϣⲥ ⲛϩ., ϣ(ⲉ) ⲛϩ.
(F) ϣⲓ ⲛϩ."	"(S, B, F) ϣⲥ ⲛϩ., ϣ(ⲉ) ⲛϩ.
(F) ϣⲓ ⲛϩ."	"(S, B, F) ϣⲥ ⲛϩ., ϣ(ⲉ) ⲛϩ.
(F) ϣⲓ ⲛϩ."	ϣⲥ ⲛϩ., ϣ ⲛϩ., ϣⲉ ⲛϩ., ϣⲓ ⲛϩ.	"(S, B, F) ϣⲥ ⲛϩ., ϣ ⲛϩ., ϣⲉ ⲛϩ.
(F) ϣⲓ ⲛϩ."	-	οδυνη	grief [οδυνη]	grief [οδυνη]	grief	"grief <span style=""opacity:0.7"">[οδυνη]</span>"	"grief <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CE%BF%CE%B4%CF%85%CE%BD%CE%B7"">οδυνη</a>]</span>"	grief	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715a	715	a	ϣⲥ ⲛϩ., ϣ ⲛϩ., ϣⲉ ⲛϩ.	ϣⲥ ⲛϩ.									ϣⲥ ⲛϩ., ϣ ⲛϩ., ϣⲉ ⲛϩ.	ϣⲥ ⲛϩ.	"ϣⲥ ⲛϩ., ϣ ⲛϩ., ϣⲉ ⲛϩ.
ϣⲓ ⲛϩ."	ϣⲥ ⲛϩ.							0
3634	19	0	(S,A,sA,B,F) kw nH.,ka H.	0	set heart, trust /$gk: [[peiqein, elpizein]]$/ | (as nn m), confidence	set heart, trust /$gk: [[peiqein, elpizein]]$/ | (as nn m), confidence	peiqein, elpizein	715b	18	2010-03-26	1900-01-01	vagrant		https://pishoyg.github.io/crum/3634.html	(S, A, sA, B, F) ⲕⲱ ⲛϩ., ⲕⲁ ϩ.	(S, A, sA, B, F) ⲕⲱ ⲛϩ., ⲕⲁ ϩ.	(S, A, sA, B, F) ⲕⲱ ⲛϩ., ⲕⲁ ϩ.	(S, A, sA, B, F) ⲕⲱ ⲛϩ., ⲕⲁ ϩ.	ⲕⲱ ⲛϩ., ⲕⲁ ϩ.	(S, A, sA, B, F) ⲕⲱ ⲛϩ., ⲕⲁ ϩ.	-	πειθειν, ελπιζειν	"set heart, trust [πειθειν, ελπιζειν]
<i>as nn m</i>, confidence"	"set heart, trust [πειθειν, ελπιζειν]
as nn m, confidence"	"set heart, trust 
<i>as nn m</i>, confidence"	"set heart, trust <span style=""opacity:0.7"">[πειθειν, ελπιζειν]</span>
<i>as nn m</i>, confidence"	"set heart, trust <span style=""opacity:0.7"">[<a href=""https://logeion.uchicago.edu/%CF%80%CE%B5%CE%B9%CE%B8%CE%B5%CE%B9%CE%BD"">πειθειν</a>, <a href=""https://logeion.uchicago.edu/%CE%B5%CE%BB%CF%80%CE%B9%CE%B6%CE%B5%CE%B9%CE%BD"">ελπιζειν</a>]</span>
<i>as nn m</i>, confidence"	"set heart, trust 
as nn m, confidence"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715b	715	b	ⲕⲱ ⲛϩ., ⲕⲁ ϩ.	ⲕⲱ ⲛϩ.					ⲕⲱ ⲛϩ., ⲕⲁ ϩ.	ⲕⲱ ⲛϩ.	ⲕⲱ ⲛϩ., ⲕⲁ ϩ.	ⲕⲱ ⲛϩ.	ⲕⲱ ⲛϩ., ⲕⲁ ϩ.	ⲕⲱ ⲛϩ.	ⲕⲱ ⲛϩ., ⲕⲁ ϩ.	ⲕⲱ ⲛϩ.							0
8025	19	3634	^^^ e-	0	upon	upon		715b	19	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8025.html	<i><b>c</b></i> ⲉ-	<i><b>c</b></i> ⲉ-	c ⲉ-	c ⲉ-	ⲉ- (c)	ⲉ- (c)	-		upon	upon	upon	upon	upon	upon	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715b	715	b	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	ⲉ- (c)	ⲉ-	1
8026	19	3634	^^^ eJn-	0	(sim)	(sim)		715b	20	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8026.html	<i><b>c</b></i> ⲉϫⲛ-	<i><b>c</b></i> ⲉϫⲛ-	c ⲉϫⲛ-	c ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ- (c)	-		<i>sim</i>	sim	<i>sim</i>	<i>sim</i>	<i>sim</i>	sim	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715b	715	b	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	ⲉϫⲛ- (c)	ⲉϫⲛ-	1
8027	19	3634	^^^ n-	0	(sim)	(sim)		715b	21	2010-08-12	1900-01-01	vagrant		https://pishoyg.github.io/crum/8027.html	<i><b>c</b></i> ⲛ-	<i><b>c</b></i> ⲛ-	c ⲛ-	c ⲛ-	ⲛ- (c)	ⲛ- (c)	-		<i>sim</i>	sim	<i>sim</i>	<i>sim</i>	<i>sim</i>	sim	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=715b	715	b	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	ⲛ- (c)	ⲛ-	1
